"","confcar","sex","race","num","horn","carval","month","day","miltime","time","ccstatus","valuediff"
"47","Q45","male","white",3,"no_horn",13150,"March","Saturday",1500,43.41,"high",43850
"48","Q45","male","white",4,"yes_horn",8000,"March","Saturday",1515,56.67,"high",49000
"49","Q45","male","white",4,"yes_horn",17800,"March","Saturday",1545,23.75,"high",39200
"51","Maxima","female","white",2,"yes_horn",48050,"March","Thursday",1115,40.81,"low",-42850
"52","Maxima","female","white",2,"no_horn",16400,"March","Thursday",1130,35.66,"low",-11200
"54","Maxima","male","white",2,"no_horn",5700,"March","Thursday",1200,30.08,"low",-500
"56","Maxima","female","white",1,"yes_horn",5650,"March","Thursday",1230,26.88,"low",-450
"57","Maxima","female","white",1,"no_horn",18875,"March","Thursday",1245,25.36,"low",-13675
"59","Maxima","female","black",1,"no_horn",8775,"March","Thursday",1315,25.79,"low",-3575
"60","Maxima","female","white",1,"yes_horn",8025,"March","Thursday",1330,54.15,"low",-2825
"61","Maxima","female","white",1,"yes_horn",14290,"March","Thursday",1345,30.13,"low",-9090
"62","Maxima","male","black",1,"no_horn",5550,"March","Thursday",1400,79.4,"low",-350
"64","Maxima","male","white",3,"yes_horn",1925,"March","Thursday",1430,35.6,"low",3275
"65","Maxima","male","white",1,"no_horn",10250,"March","Thursday",1445,34.45,"low",-5050
"67","Maxima","female","white",2,"yes_horn",16400,"March","Thursday",1515,36.44,"low",-11200
"68","Maxima","male","white",1,"no_horn",18150,"March","Thursday",1530,14.87,"low",-12950
"70","Maxima","female","white",1,"yes_horn",8100,"March","Thursday",1600,23.49,"low",-2900
"71","Maxima","female","black",2,"yes_horn",19850,"March","Thursday",1615,96.42,"low",-14650
"72","Maxima","female","white",1,"no_horn",6500,"March","Thursday",1630,25.33,"low",-1300
"74","Maxima","female","white",2,"yes_horn",13500,"March","Thursday",1700,43.74,"low",-8300
"75","Maxima","female","white",1,"no_horn",13500,"March","Friday",1100,38.78,"low",-8300
"77","Maxima","female","white",1,"yes_horn",14400,"March","Friday",1130,27.82,"low",-9200
"78","Maxima","male","white",2,"no_horn",10150,"March","Friday",1145,31.74,"low",-4950
"80","Maxima","male","black",1,"no_horn",2925,"March","Friday",1215,24.67,"low",2275
"81","Maxima","male","white",2,"yes_horn",9100,"March","Friday",1230,70.99,"low",-3900
"84","Maxima","male","white",4,"yes_horn",12250,"March","Friday",1315,35.47,"low",-7050
"86","Maxima","female","black",2,"yes_horn",10150,"March","Friday",1345,20.12,"low",-4950
"87","Maxima","male","black",3,"no_horn",8775,"March","Friday",1400,62.62,"low",-3575
"88","Maxima","male","white",1,"no_horn",12200,"March","Friday",1415,18.26,"low",-7000
"90","Maxima","male","white",1,"no_horn",23258,"March","Friday",1445,17.63,"low",-18058
"91","Maxima","male","other",1,"no_horn",20500,"March","Friday",1500,14.97,"low",-15300
"93","Maxima","female","white",1,"yes_horn",2650,"March","Friday",1530,37.48,"low",2550
"94","Maxima","female","black",1,"yes_horn",4150,"March","Friday",1545,38.07,"low",1050
"95","Maxima","male","white",4,"yes_horn",19150,"March","Friday",1600,48.58,"low",-13950
"97","Maxima","female","black",1,"no_horn",7250,"March","Friday",1630,19.31,"low",-2050
"98","Maxima","female","white",1,"no_horn",11300,"March","Friday",1645,30.61,"low",-6100
"100","Maxima","male","white",2,"yes_horn",14800,"March","Saturday",1100,21.18,"low",-9600
"101","Maxima","male","white",2,"no_horn",15600,"March","Saturday",1115,28.38,"low",-10400
"103","Maxima","female","white",2,"yes_horn",12200,"March","Saturday",1145,62.86,"low",-7000
"104","Maxima","male","white",1,"no_horn",4275,"March","Saturday",1200,69.03,"low",925
"106","Maxima","female","white",1,"no_horn",10250,"March","Saturday",1230,72.84,"low",-5050
"108","Maxima","male","black",1,"yes_horn",3250,"March","Saturday",1300,68.83,"low",1950
"109","Maxima","male","white",3,"yes_horn",26519,"March","Saturday",1315,40.65,"low",-21319
"110","Maxima","male","white",2,"yes_horn",48730,"March","Saturday",1330,26.69,"low",-43530
"112","Maxima","female","black",1,"no_horn",1750,"March","Saturday",1415,31.53,"low",3450
"115","Maxima","male","white",2,"yes_horn",13950,"March","Saturday",1500,22.23,"low",-8750
"116","Maxima","female","white",1,"no_horn",2300,"March","Saturday",1515,18.84,"low",2900
"117","Maxima","female","white",2,"yes_horn",23082,"March","Saturday",1530,45.07,"low",-17882
"118","Maxima","female","black",1,"no_horn",7100,"March","Saturday",1545,35.31,"low",-1900
"120","Maxima","female","black",1,"yes_horn",6700,"March","Saturday",1615,41.55,"low",-1500
"121","Maxima","female","white",2,"no_horn",5100,"March","Saturday",1630,32.98,"low",100
"123","Maxima","male","black",5,"yes_horn",3875,"March","Saturday",1700,37.04,"low",1325
"139","Q45","male","black",1,"no_horn",4575,"May","Thursday",1630,17.65,"high",52425
"140","Q45","female","black",1,"yes_horn",17500,"May","Thursday",1645,65.13,"high",39500
"141","Q45","female","black",2,"no_horn",6530,"May","Thursday",1700,40.32,"high",50470
"142","Q45","female","black",1,"yes_horn",6450,"May","Thursday",1715,93.02,"high",50550
"143","Q45","male","white",2,"no_horn",6200,"May","Thursday",1730,16.79,"high",50800
"149","Q45","male","white",2,"no_horn",4050,"May","Friday",1315,17.85,"high",52950
"150","Q45","female","white",2,"no_horn",3050,"May","Friday",1330,33.07,"high",53950
"151","Q45","female","white",2,"no_horn",4725,"May","Friday",1345,23.14,"high",52275
"152","Q45","male","black",1,"yes_horn",4775,"May","Friday",1400,24.97,"high",52225
"153","Q45","male","black",1,"yes_horn",6847,"May","Friday",1415,23.49,"high",50153
"154","Maxima","female","white",1,"yes_horn",13400,"May","Friday",1430,31.57,"low",-8200
"155","Maxima","female","white",1,"yes_horn",9650,"May","Friday",1445,40.84,"low",-4450
"156","Maxima","male","white",2,"no_horn",11150,"May","Friday",1500,36.05,"low",-5950
"157","Maxima","male","white",4,"yes_horn",14250,"May","Friday",1515,41.78,"low",-9050
"158","Maxima","male","white",1,"no_horn",20258,"May","Friday",1530,23.02,"low",-15058
"164","Maxima","male","other",1,"no_horn",18500,"May","Saturday",1100,19.13,"low",-13300
"165","Maxima","female","black",1,"yes_horn",8150,"May","Saturday",1115,41.18,"low",-2950
"166","Maxima","female","white",1,"no_horn",10300,"May","Saturday",1130,22.71,"low",-5100
"167","Maxima","female","white",2,"yes_horn",14200,"May","Saturday",1145,65.96,"low",-9000
"168","Maxima","male","white",1,"no_horn",9275,"May","Saturday",1200,34.03,"low",-4075
"174","Q45","female","white",2,"no_horn",3065,"May","Saturday",1330,44.87,"high",53935
"175","Q45","male","white",1,"no_horn",7250,"May","Saturday",1400,23.66,"high",49750
"176","Q45","male","white",1,"no_horn",6840,"May","Saturday",1415,13.28,"high",50160
"177","Q45","female","white",2,"no_horn",16400,"May","Saturday",1430,35.89,"high",40600
"178","Maxima","female","black",1,"no_horn",8100,"May","Saturday",1445,27.41,"low",-2900
"179","Maxima","male","black",1,"no_horn",9550,"May","Saturday",1500,86.5,"low",-4350
"180","Maxima","female","white",1,"no_horn",15500,"May","Saturday",1515,20.88,"low",-10300
"181","Maxima","female","white",1,"yes_horn",13025,"May","Saturday",1530,57.22,"low",-7825
"182","Maxima","female","white",1,"yes_horn",12093,"May","Saturday",1545,33.34,"low",-6893
"183","Q45","male","other",2,"yes_horn",20250,"May","Thursday",1330,44.2,"high",36750
"184","Q45","female","white",1,"yes_horn",11250,"May","Thursday",1345,35.45,"high",45750
"185","Q45","male","white",1,"yes_horn",16300,"May","Thursday",1400,46.97,"high",40700
"186","Q45","female","white",1,"no_horn",7800,"May","Thursday",1415,36.88,"high",49200
"187","Q45","female","black",1,"yes_horn",16400,"May","Thursday",1430,42.05,"high",40600
"188","Maxima","male","white",3,"yes_horn",11925,"May","Thursday",1430,40.7,"low",-6725
"189","Maxima","male","white",1,"no_horn",14150,"May","Thursday",1530,18.02,"low",-8950
"190","Maxima","female","black",1,"yes_horn",10700,"May","Saturday",1615,44.65,"low",-5500
"191","Maxima","female","black",2,"yes_horn",28850,"May","Thursday",1615,79.21,"low",-23650
"192","Maxima","female","white",1,"yes_horn",7400,"May","Thursday",1600,26.58,"low",-2200
"198","Maxima","female","white",1,"no_horn",6700,"May","Thursday",1730,17.49,"low",-1500
"199","Maxima","male","white",2,"no_horn",5900,"May","Thursday",1745,35.13,"low",-700
"200","Maxima","female","white",1,"yes_horn",6650,"May","Thursday",1800,30.25,"low",-1450
"201","Maxima","female","white",1,"no_horn",14975,"May","Thursday",1815,17.66,"low",-9775
"202","Maxima","female","black",1,"no_horn",9075,"May","Thursday",1830,17.89,"low",-3875
"208","Q45","female","white",2,"yes_horn",6250,"May","Friday",1245,47.44,"high",50750
"209","Q45","male","black",1,"yes_horn",6050,"May","Friday",1315,24.57,"high",50950
"211","Q45","male","white",1,"yes_horn",18700,"May","Friday",1345,51.08,"high",38300
"212","Q45","male","other",1,"no_horn",15600,"May","Friday",1400,22.05,"high",41400
"228","Q45","female","white",1,"yes_horn",16720,"May","Saturday",1230,47.87,"high",40280
"229","Q45","male","white",1,"no_horn",3775,"May","Saturday",1245,22.87,"high",53225
"230","Q45","male","black",2,"yes_horn",5400,"May","Saturday",1300,43.85,"high",51600
"231","Q45","female","other",1,"no_horn",6250,"May","Saturday",1315,29.65,"high",50750
"232","Q45","male","white",2,"yes_horn",10350,"May","Saturday",1330,21.23,"high",46650
"233","Maxima","female","white",1,"no_horn",15250,"May","Saturday",1345,34.94,"low",-10050
"234","Maxima","male","black",1,"yes_horn",8250,"May","Saturday",1400,94.03,"low",-3050
"235","Maxima","male","white",2,"yes_horn",14050,"May","Saturday",1415,59.32,"low",-8850
"236","Maxima","female","white",1,"no_horn",2800,"May","Saturday",1430,20.95,"low",2400
"237","Maxima","female","white",2,"yes_horn",24080,"May","Saturday",1445,37.17,"low",-18880
